	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub33	0.0128545178457692	0.45715061006623	0.0018997681180548	0.110959527889007	0.112834057474705	0.0465482452611142	0.0523927832811415	0.0001753502699089	2.02496246122787e-06	0.0988612967998369	0.0622544666049749	0.008078484637477	2.52313486538059e-06	0.0359863436544534
Sub34	0.0202086116098414	0.437354178354311	0.0008955122021554	0.0614981871722416	0.237521303605307	0.0276984803667198	9.11605211272849e-06	0.0397494667673734	1.18314570078215e-06	0.0811115180648854	0.0601581508140249	0.0113524188002969	0.0003379648454895	0.0221039081995401
Sub35	0.0001301945815008	0.176797697541771	0.005418360855882	0.224135754278975	0.336793725280856	0.0216914236943161	0.0046574421262381	0.023495483870604	0.0054979398858599	0.127511979578488	0.0572606649341116	0.0042654984149107	0.0004870315128477	0.0118568034436383
Sub36	0.0079237725685672	0.153206269620388	0.001554204738056	0.289190852525261	0.392692673452046	3.46923888199658e-06	2.02420173958874e-06	0.0464661139526764	0.0036315380032124	0.0751559828126086	0.015922037119849	0.0028480007769111	5.79927636947102e-05	0.0113450682261081
Sub37	0.0146372919098931	0.455141045728078	0.0002756373878449	0.208331030363981	0.0754427502357808	3.88340208816689e-05	0.0042861042914262	0.0914959740364182	5.57654724368084e-06	0.0920833164860451	0.0254467972869524	0.0145986280470505	0.000201152487874	0.0180158611705308
Sub38	0.0265723173673336	0.547691951197264	0.0142721653722444	0.0524681683380318	0.0282484490936821	0.0901029627167272	0.0187658809229816	0.0569556797808116	0.0023828053217935	0.109160342637994	0.0415205191584985	0.0022157373647825	0.0001213250427608	0.0095216956850945
Sub39	0.0059606858779726	0.280396692560123	0.0252171841884612	0.122223671086867	0.335588768697113	0.0320830986788699	4.09732171405391e-06	0.0852262313143677	1.6079307029177e-06	0.0268470874254064	0.0475406020084051	0.0048860185131819	6.21395703600669e-05	0.0339621148264551
Sub40	1.24996714211038e-05	0.0727806118271471	0.002808698599008	0.217971042832541	0.500926888068616	0.0008446204525321	0.0041386878733171	0.0049930963252664	0.0022919038976785	0.11058346766821	0.0625297703049752	0.0042945298212335	0.000764102641789	0.0150600800162637
Sub41	0.006825437346773	0.384794292888505	0.0003959800024711	0.283240755987234	0.110980165635542	4.41844618349334e-05	3.71524004637041e-06	0.0235664212109721	0.0067748653533713	0.0906340581404773	0.057574367523742	0.0081983086462878	0.0002182304606797	0.0267492171020635
Sub42	0.0099760312121893	0.262024301872191	0.0021927869797527	0.321932727558858	0.141267783904117	4.14340291849281e-06	0.0003562104902018	0.0210598153581175	0.0145140237964925	0.1168416878078	0.073995654714	0.0051557501344846	0.0002669895839623	0.0304120931849135
Sub43	0.0127756171518662	0.45984128928072	0.0009456505918007	0.207579347399134	0.099121544550961	0.0011249969598868	2.12987581812243e-06	0.0173913864770704	9.75496448881668e-07	0.104374496292647	0.0454549882120134	0.0195220497727622	0.000395271926874	0.0314702560119976
Sub44	0.0192860182158142	0.273442312874673	0.0006941276616226	0.297853931997391	0.134604926436299	0.032915227919811	0.0015478042251631	0.0001385817124478	0.0004625506540863	0.159485326522034	0.0539364639713623	0.0129140780933662	0.0008124597995844	0.0119061899163449
Sub45	0.0155049825409155	0.535976713104972	0.0091592611582269	0.0917667886503986	0.0568349040320004	0.0003881816817401	2.50312659989712e-06	0.088098630832692	1.14915354874863e-06	0.077015221858353	0.0664069358686034	0.0253727999614799	0.0002886382115942	0.0331832898188754
Sub46	1.08906441132618e-06	0.23568780531823	0.0025022309787568	0.117080116381178	0.395869389046507	4.57131085525376e-06	4.64289617274694e-06	0.0549481052051364	5.24607165814895e-06	0.0607155386373241	0.0735527544399695	0.0100606814884471	0.0002644267024689	0.0493034024588849
Sub47	0.0074646042851074	0.242868253402705	0.0052577115818891	0.124267821267628	0.359018650204716	0.0160994871455339	1.12073805450845e-05	0.0492468289081621	0.0049245377432763	0.0995646559579585	0.0723438309187966	0.0019141363304287	0.0002083092737455	0.0168099655995068
Sub48	1.85936440546245e-06	0.322213385167262	0.030286641448699	0.153781267550206	0.0983005503030284	0.0278802947828769	0.0682884152330404	0.123366035564867	0.0128825933469071	0.0807271045767038	0.0523630150374545	0.0059816217851339	8.48127685303099e-05	0.0238424030708851
Sub49	0.0087118013321891	0.516941334349085	0.0002475752140497	0.272273972042574	0.0231330726064058	0.0290780765594218	2.37260014884708e-06	0.0018275370439157	1.16904712969172e-06	0.077623114190412	0.0250895376135477	0.022016183067091	0.0001645922576335	0.0228896620763959
Sub50	1.19332028939983e-05	0.401831676707717	0.0002828969613714	0.214008432622191	0.0793784289598141	0.0049370031124904	1.68723734600042e-06	0.0498189114339512	0.0060084407851084	0.133909544703191	0.0558336950104057	0.0184645026804584	0.0001238492041007	0.0353889973789596
Sub51	0.0039374430268694	0.322905148500767	0.0013275282653767	0.280619084407259	0.110001265413602	0.03762615105067	0.0080278256711535	0.0389698282574764	0.0125727692441715	0.0942589420096246	0.056895606249994	0.0107849839880578	0.0001431646485051	0.0219302592664729
Sub52	0.0422358007262414	0.305262248716506	0.0018527154149654	0.233258772196154	0.275521692321225	0.0010920176337537	3.54006248681191e-06	0.0614499990560202	0.018753177177105	0.0181544413242198	0.0183612188021478	0.0088567442597117	1.28815236383597e-05	0.0151847507858239
Sub53	0.0043810308327652	0.119245889233531	0.0040161428690943	0.303714742170713	0.33372786517147	0.0113250305334494	0.0065902048247644	0.0001256821750924	0.0004515673422043	0.164530736065322	0.0481441519868886	0.0022545887302314	0.0002064071217942	0.0012859609426789
Sub54	0.0050564974362347	0.271534275333691	0.0020264997813387	0.196247368282595	0.237122251693363	0.0326007197372728	0.0190631784396152	0.0304560812169246	0.0120894753464319	0.11820582361326	0.0603468757873034	0.0034322435514283	0.0001005736759206	0.011718136104621
Sub55	8.06457484127978e-06	0.136053935923273	0.0114783498055834	0.333383696604551	0.311524623784128	7.75548627203797e-06	0.0178418396774441	0.0601281005072362	0.017384554388964	0.060383965674019	0.0353184498116539	0.0040905953968959	9.4213143056931e-05	0.0123018552220818
Sub56	0.0004797400399431	0.0975091379395172	0.0015131067925846	0.499093811764884	0.172488943233466	1.71450586132405e-05	4.44144605933897e-05	0.0015559247026185	0.0018183019273882	0.127591468112327	0.062688808854664	0.0056672070427553	0.0006035243547234	0.0289284657159214
Sub57	0.0050027917916298	0.331434889075346	0.0004978929038604	0.282768171421929	0.0718704701957606	0.0332153839236844	1.06050457917466e-05	0.0061387666677618	0.0002418130512509	0.1680808016563	0.0455271751203085	0.0297656571432254	0.0006092677564932	0.024836314246658
Sub58	0.0064996524650689	0.405612289846532	0.0027534326251849	0.253666641247773	0.0922186763325475	0.0268468480368135	0.0017403066419733	0.0708258830164349	0.0142986765280132	0.0491803779599248	0.0462234877380108	0.0107706057096073	5.35648928239742e-05	0.0193095569592929
Sub59	0.0038769670099621	0.202625488638796	0.0059254167586113	0.326921355258368	0.216566198343539	0.0256534207614348	8.62905463613341e-05	0.0519414081371073	0.0050664791259773	0.106201285133691	0.0420819866384974	0.0053828665889851	9.29263677675007e-05	0.007577910690901
Sub60	0.0118200298325467	0.123628173999809	0.0005232053383044	0.47749422331862	0.251825944783514	0.0153968993433683	0.0007819159324169	0.0073635332652592	0.0008152753236352	0.0747695147375615	0.0253161312574887	0.0032023560090539	0.0001360732496809	0.0069267236087408
Sub61	0.0025597443431772	0.113280338713464	0.0037897137075822	0.107860114541327	0.624969184019408	1.36957746232754e-05	0.0082863065781525	0.0402869594723556	0.0033446067408721	0.0388607868924338	0.0415004620067114	0.0009977785254	0.0002029984900158	0.0140473101944771
Sub62	0.0128690004079933	0.590939776347141	0.0034649223969375	0.117940394526264	0.0189356926281786	0.0282935760327399	4.00057031667855e-06	1.23273284523597e-05	1.96312971900396e-06	0.163512869199958	0.0358961204237545	0.0214914486381065	0.000470963053043	0.0061669453173942
Sub63	0.0108660081536743	0.561808553226805	8.50968378633784e-07	0.0809879433446717	0.0556665841198594	0.0172755591770495	1.40272355173399e-06	1.46420503787518e-05	6.67880066549581e-07	0.134195035712514	0.0695001112943514	0.0192959604923412	0.0003227372782389	0.050063943578119
Sub64	0.0037338854495957	0.41046926708906	0.001649939951313	0.136911464613158	0.122322157575215	0.0198120944517671	3.30817009491108e-06	0.0002488593864101	1.17713692917387e-06	0.105747139263863	0.110779031361199	0.0300753823643395	9.26459058521726e-05	0.058153647281203
Sub65	0.004260250164942	0.241075039927337	0.0664177219900521	0.275392196618896	0.11390734194922	5.83589265633844e-06	0.0090013348147489	0.0116933229169725	0.0161837334435482	0.165120025262232	0.0781654625969107	0.0039586556024599	0.0004088356499719	0.0144102431700517
Sub66	0.0142894372111159	0.261342190379747	0.0110441987114561	0.300362871729254	0.103991310039134	0.0609969575577226	1.94029916849611e-06	1.51927063922554e-05	1.28167048128192e-06	0.0883325088471629	0.102003716963719	0.0047817165069244	0.0003602044864146	0.0524764728913067
Sub67	0.0031246075090441	0.301777248612954	0.0017105967905982	0.238834714142371	0.233120971242392	0.0124179475554439	1.40924198508909e-06	7.24491422619988e-05	2.52207263074319e-06	0.0995181622466397	0.0685941594887711	0.0149329333028597	0.0001651641236402	0.0257271145284086
Sub68	0.022501132151409	0.384278095665851	0.0053865915503951	0.120446687011257	0.101410444962298	0.0660933184165883	1.21105053336774e-05	0.0005167209476358	3.15641057486138e-06	0.188645215880952	0.0939464310455064	0.0076935240069146	0.0003141912803166	0.0087523801649679
Sub69	0.0348589261928333	0.510697069654236	0.0010283353441842	0.147581013024895	0.0798035720335802	0.0529698115700523	2.2370791624661e-06	0.0005197709802594	2.52495060185905e-06	0.0717249826935144	0.0666335466750865	0.0140828325362634	2.99583188102404e-05	0.0200654189465201
Sub70	0.0047482356145818	0.318331993210523	0.0016372491701755	0.230014858004921	0.106411594638583	0.0108159199744037	2.20012613907772e-06	1.20618016027557e-05	2.35504209523375e-06	0.249921280734455	0.0583460014825507	0.0118621480998085	0.0007931948724503	0.0071009072277113
Sub71	0.0093460596908185	0.411085420569118	0.0001930581329157	0.364298227391017	0.129734248932076	0.00893269254455	1.27177949819e-06	1.24976788656735e-05	8.15305759539934e-07	0.0411736189386571	0.0106544645091801	0.0153406392572744	2.56459233867631e-06	0.0092244206779298
Sub72	0.0083322570703446	0.470010883542031	0.0031618121662465	0.0924617891072892	0.0137923961893661	0.0731089193919507	1.28084496949343e-06	0.0005637927431639	0.0123568299958267	0.224867612778531	0.065261295940628	0.0189665807568265	0.0001985510432104	0.0169159984296157
Sub73	0.0082801029876685	0.452609702059725	0.0023678757193586	0.28203170060195	0.0787357767626549	0.006033536727554	2.9106408795048e-06	0.0001944791359387	0.0053466713353843	0.114952266512186	0.0322835296233041	0.0104895214126489	4.77307270228888e-05	0.0066241957537243
Sub74	0.0020162405817155	0.162817311542873	0.0019042371373833	0.463538229392635	0.230518758917431	7.57344565674729e-05	0.000891978013637	0.0004755047307269	0.0012863827224131	0.0983535781183441	0.0321922797238446	0.0022417162000614	3.1332319599672e-05	0.0036567161427688
Sub75	0.0047926723373513	0.271846415616762	0.0027917038848664	0.377761509323994	0.0224030370982018	0.0109996600349639	1.93974065505437e-06	1.20501733990903e-05	0.0009260179864145	0.231986600119982	0.0468814407434984	0.0119163600438423	0.0002947843535238	0.0173858085425443
