	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
20390027	0.41886723	0.022681821	0.14636974	0.20340988	0.015243567	0.016968219	0.088889815	0.08756973
20399274	0.4484376	0.035400406	0.13982804	0.18296108	0.0	0.032997828	0.07557887	0.08479626
20416210	0.46776515	0.04593323	0.14943498	0.16551703	0.0	0.015942907	0.071541026	0.08386575
20431359	0.4927907	0.0031154898	0.12580658	0.18870133	0.0	0.035978064	0.07418324	0.07942455
20453625	0.42561653	0.06397315	0.16797774	0.20924613	0.0	0.008910677	0.0707673	0.053508442
20455807	0.48067716	0.003751702	0.14803518	0.2099477	0.0040182294	0.006621937	0.07100825	0.075939775
20487369	0.448289	0.05968118	0.15823223	0.17242612	0.0	0.016239341	0.07243717	0.072694995
20494368	0.4776868	0.030570557	0.14705339	0.16974182	0.0	0.018337086	0.0757886	0.08082179
20500815	0.41987082	0.10357303	0.17877755	0.1306497	0.0	0.0	0.08555519	0.08157375
20501668	0.4547761	0.042016525	0.15097879	0.17454274	0.0	0.016738266	0.07869382	0.08225369
20504017	0.44923165	0.045364637	0.14470094	0.17443734	0.0	0.02659986	0.079087414	0.08057814
20521752	0.48369098	0.04240216	0.15224762	0.1644089	0.0	0.021912752	0.07103563	0.064301945
20532115	0.4383574	0.040689066	0.14258653	0.18445177	0.0	0.027614437	0.08225335	0.08404745
20559562	0.46671847	0.03491505	0.15128739	0.19129443	0.0	0.01596513	0.07012842	0.069691
20561642	0.42412803	0.0056016073	0.13809402	0.24498619	0.004463889	0.015572646	0.07566235	0.09149124
20569910	0.44068798	0.04531847	0.14859682	0.1748747	0.0021174846	0.022267995	0.07930217	0.08683437
20583594	0.4432081	0.06799353	0.16028588	0.17521101	0.0	0.019440942	0.07366659	0.060194023
20584923	0.49801365	0.006847541	0.12922744	0.18047811	0.0	0.026314797	0.07051413	0.0886044
20594407	0.43723133	0.05831116	0.16109121	0.19157904	0.0	0.018654624	0.08028892	0.052843757
20602974	0.4832625	0.045236275	0.16406392	0.17334077	0.0	0.004582817	0.06467305	0.064840764
20603141	0.44914874	0.018548869	0.13673848	0.17881659	0.005411953	0.020944562	0.092337586	0.098053165
20610726	0.40914738	0.039361183	0.14794914	0.23019324	0.0	0.026394585	0.07659873	0.070355766
20611993	0.45241162	0.0443809	0.14384994	0.15682782	0.0	0.032048855	0.09235733	0.07812353
20630946	0.45170447	0.057366464	0.16384195	0.18286699	0.0	0.0071520256	0.07498439	0.06208368
20646778	0.4358129	0.045676272	0.15577397	0.20471376	0.0	0.01867882	0.07256958	0.06677465
20656964	0.45795596	0.05615905	0.14621983	0.1533939	0.0	0.026290745	0.08003566	0.079944916
20665307	0.42392766	0.050358944	0.15051341	0.1968769	0.0	0.030339656	0.08203975	0.06594362
20674902	0.4498047	0.023776423	0.13434307	0.20515224	0.0	0.023757761	0.07104765	0.09211815
20683921	0.43589368	0.03602692	0.14447196	0.15535225	0.027086854	0.014999146	0.08436584	0.10180333
20706215	0.47457334	0.0	0.11833821	0.17672636	0.008299599	0.024321467	0.083448105	0.11429299
20726273	0.44648227	0.04021147	0.14945826	0.19664204	0.0	0.025086911	0.073202394	0.06891662
20730959	0.46438262	0.04390679	0.15693274	0.1812164	0.0	0.015115326	0.07065466	0.06779137
20767628	0.32669437	0.1299745	0.18462858	0.21007816	0.0	0.0072135716	0.082958326	0.058452476
20774339	0.44074944	0.056878436	0.15019561	0.17977028	0.0	0.028007384	0.07501169	0.0693872
20779834	0.4978262	0.006404521	0.12877475	0.1610484	0.0	0.022667333	0.0795823	0.103696525
20780035	0.47790524	0.017095244	0.13407321	0.18472488	0.0	0.024044966	0.07595341	0.08620307
20798913	0.433009	0.0	0.15071242	0.22759713	0.03679355	0.006070006	0.07525248	0.070565365
