Mixture	alpha	beta	gamma	delta	acinar	ductal	endothelial	activated_stellate	quiescent_stellate	P-value	Correlation	RMSE
Sub73	0.563493194520787	0.0763438016799664	0.00163658367496685	0	0.0641004349849142	0.198453166697059	0.034608669071316	0.0384964677676344	0.0228676816033556	0	0.98943513497333	0.27438639569473
Sub74	0.175961463964026	0.0296804441520762	0.00364100300818755	0	0.206591878403663	0.492203276830786	0.0295300602377225	0.0460147398836804	0.0163771335198582	0	0.918501284174453	0.54373752838401
Sub75	0.162812949829183	0.147555757217399	0.0604595983196483	0	0.014975940513377	0.363769630392295	0.0729261801628662	0.124369196262316	0.053130747302915	0	0.925700250013218	0.624923704277851
Sub76	0.517412497526712	0.188753702978835	0.0106808817960515	0.0811608753969818	0.0663614922295341	0.0358806694536219	0.0529723920492992	0.0376035335507146	0.0091739550182507	0	0.989504951319642	0.209573341040094
Sub77	0.271067460170992	0.049712231179725	0.0246606166404013	0.00332948940614617	0.107318878210678	0.341644898947128	0.105503207042801	0.0531492229974571	0.0436139954046716	0	0.981987667905046	0.380452657331992
Sub78	0.45144212235112	0.161383768541577	0.0240389509503024	0.0178319546553625	0.00123720438537997	0.0503108946523307	0.063772185534454	0.194671074810981	0.0353118441184918	0	0.983920795399856	0.178719548323918
Sub79	0.394161175047521	0.00207641825645376	0	0	0.156152613904186	0.258913576819856	0.0564850986820305	0.132211117289952	0	0	0.973690307796174	0.241634059819561
Sub80	0.165233288024608	0.0215278473516522	0	0	0.182585825989417	0.44104390329972	0.081159477802072	0.108449657532531	0	0	0.853765326082432	0.629615163916484
Sub81	0.299365933120929	0.467709959084111	0	0	0.0120460064655042	0.0925567194864974	0.0368323381284892	0.0768599981777106	0.0146290455367582	0	0.954251106223508	0.370274255206318
Sub82	0.029283790306206	0.228467084500441	0.0224789414935083	0.0156246579122843	0.164187510396226	0.273496474719519	0.10978229438565	0.14329057385265	0.0133886724335153	0	0.793031284819663	0.769558149109119
Sub83	0.127245435168277	0.0254101388751537	0.00701668149571153	0	0.281534703688478	0.498915154325326	0.0185973102401352	0.0395134269556152	0.00176714925130378	0	0.925926066352832	0.537753482835393
Sub84	0.139410250426132	0.159549437264473	0.0337349484186287	0	0.0601241334500893	0.270550997018317	0.161532113220671	0.175098120201689	0	0	0.896568412466937	0.677863105599098
Sub85	0.284824238190988	0.337013703995436	0.00129906723652456	0	0.0299988202697485	0.22974036347701	0.0440475406001824	0.0646651840686879	0.00841108216142243	0	0.962387784263841	0.386015149434883
Sub86	0.433559539635526	0.112071321523052	0	0.00181982420493767	0.0913069805262148	0.168035023785179	0.0541307392237339	0.122347715529264	0.0167288555720925	0	0.983375024366342	0.183334685488881
Sub87	0.217970124823668	0.0188150795096943	0.131170728728682	0.0112700686675426	0.037131939047118	0.280425134479831	0.12750178446145	0.090004275750294	0.085710864531721	0	0.970823059548484	0.498369072142305
Sub88	0.526998898314982	0.308647272533753	0.0365393609977491	0.0172885037430872	0	0.00172518386275438	0.0318837231160409	0.0463959801824813	0.0305210772491527	0	0.986700322848993	0.238230199310709
Sub89	0.397356130397219	0.264540362824873	0.115195945068968	0.024902255408888	0	0.0355541787588311	0.0813437587899734	0.0399572249595314	0.0411501437917164	0	0.973308562994549	0.24059365492182
