	acinar	ductal	delta	activated_stellate	alpha	beta	epsilon	gamma	endothelial	quiescent_stellate	macrophage	schwann	mast	t_cell
Sub60	0.0513229335871559	0.0043113812220636	0.0046556870709969	0.0502366133138846	0.650326129070197	0.18319731591781	0.0035718267314536	0.0002274958194094	0.0358263653904302	0.0020691878426895	0.0052497180887362	0.0004574050678133	0.00848108427426	6.68566030994536e-05
Sub61	0.310079016580439	0.0110991966583917	0.0045421743769069	0.0227403521941069	0.279056038618057	0.244061995767657	6.83299856592281e-05	0.0046306524271637	0.0713126313590348	0.029041772561569	0.0018462439108042	0.0060528472630647	0.014511539202989	0.000957209094157
Sub62	3.50124474700165e-07	0.0451906390272217	0.0017467342469011	0.114278108292133	0.111824555854778	0.63326620852138	0.0221201809082218	0.0029087260965866	0.0470612508008758	0.0104586716140627	0.0093807110127948	6.53093916927432e-06	0.001756008010942	1.32455045797106e-06
Sub63	0.0129523301284633	0.0370302053272243	9.09696552559324e-06	0.0557829623524516	0.090301638961237	0.565311208085859	0.017470144994386	6.83961575555634e-07	0.110023738615611	0.0871291374010903	0.0009424115210493	0.0125400407277207	0.0105052622617638	1.13869604303563e-06
Sub64	0.031915891481369	0.0102755862424202	6.49153236069477e-07	0.0360005069660673	0.138737378820892	0.48537931087656	0.0022501795792653	4.22609586380279e-06	0.161348450008828	0.078640302464031	2.61885005969721e-05	0.0200843367683998	0.0351894721140738	0.0001475209283963
Sub65	0.0281505273994843	7.91929162839813e-07	2.8861446978784e-06	0.0983185303851386	0.3161223026267	0.296989101493699	2.48510752175052e-06	0.073160324482831	0.108503207310677	0.0403182075323433	0.0059858842072104	0.0144298600127853	0.0175280455281112	0.0004878458396382
Sub66	0.0206706800022249	0.0608027652420242	0.0058211099218476	0.0372339055930894	0.348839919306461	0.295139223817117	0.0002243906328069	0.0118233140280615	0.140840943090189	0.026107817193678	0.0006337950324539	0.0309895405945309	0.0206545758146957	0.0002180197308186
Sub67	0.0722381731997165	0.013046945166696	3.00056612037453e-07	0.0645686404580805	0.330216908127825	0.357509428238439	0.013038244511947	0.0007749734234391	0.0958299851165501	0.0328524311768954	0.0013503196703984	0.0043774807166322	0.0141780256114987	1.81445252707018e-05
Sub68	0.0253278183581198	0.0588823697539853	0.0126526384077463	0.138324546605116	0.125142565879722	0.44073988489926	0.0032040946544795	0.0050667951468692	0.138109298795439	0.0327983261612727	0.0020606083538629	0.0042183912988754	0.0134600710865666	1.25905986845051e-05
Sub69	0.016120588671387	0.0589975093553831	0.0215182472891532	0.0341634818166327	0.153049858432664	0.546335747698586	0.0093456254541177	2.06990656561411e-06	0.105991166894295	0.0346830594130081	0.0001641089560797	0.0058647171240315	0.0137619288686661	1.89011943029681e-06
Sub70	9.5492957342499e-06	0.0016605745294823	6.93914799447099e-07	0.179313604626988	0.374090776776338	0.350323194658428	0.0064680834383514	0.001166849749212	0.0688655066261138	0.0030042561321812	0.0034994017761221	3.24320117061228e-06	0.0115392061201466	5.5059154931574e-05
Sub71	3.89359238461553e-07	0.0067434864156777	2.09595789435619e-06	0.0237857343118449	0.485930046467856	0.439759714410466	0.0224264055139313	1.20529529668848e-06	0.0133529340395583	6.35949319997598e-05	0.0018107581607698	2.4593876235823e-06	0.0061187153590186	2.46038882330475e-06
Sub72	4.71343774424607e-07	0.0770595880531431	2.09817208028752e-05	0.127729229803908	0.076305620928201	0.5296884177202	0.0069073391391555	0.0019195765311905	0.111439948789812	0.0450636904530539	0.0023459574248317	0.0085158451979102	0.0130017403418989	1.59255211712929e-06
Sub73	0.0062756782169938	1.92142913571995e-06	0.0002247960022731	0.0725925013803013	0.329044076683189	0.506885942724281	0.0060973440881361	0.0015639587272815	0.0530925052501454	0.007116964442582	0.0005343143432262	6.4604153259589e-05	0.0165014378355403	3.95472365473826e-06
Sub74	0.0207693266813556	9.32840077653429e-07	4.43983995300082e-07	0.0632536908074912	0.680151630757979	0.193015508309847	1.48076929492017e-06	0.001568842229533	0.0335727310530485	1.14860183564646e-05	0.0005731832897671	1.36956272473469e-06	0.0070548020998729	2.45715966563913e-05
Sub75	3.08458666468604e-07	0.0024664023020718	5.06389492690427e-07	0.161811313830912	0.377913664314273	0.332421990419667	0.0073802419782664	0.0024175591887219	0.0846926493445017	0.009075455317584	0.0020519050944575	0.0015362910683234	0.0182292977960754	2.41449698602224e-06
Sub76	0.0105340383956582	0.0718323924142146	0.0288438593632741	0.0660777352594614	0.0912441695803654	0.597932601520988	0.001984822160632	0.0042851796743113	0.0926635574334323	0.0171594671149798	0.0003455205097754	0.0043986620128087	0.0126704516970921	2.7542863006752e-05
Sub77	0.016597004141715	0.0030875607747808	2.01045503264732e-06	0.089997360665768	0.380917573429171	0.325148656554405	0.0004226522584186	0.0001937115194374	0.120536243226182	0.0365134003953487	0.0013295756882186	0.0122295611875788	0.0129504056192017	7.42840847423859e-05
Sub78	4.32538792720089e-07	0.0415476677825128	0.0093541578003575	0.262402263022058	0.0856684037483672	0.487572307031151	0.0036329589996264	0.0018768494518792	0.0857640735415964	0.0069488607032331	0.0053092553216088	0.0002042904738972	0.0097004738607713	1.8005724147708e-05
Sub79	0.0142846467270998	5.41702783919659e-06	1.39409445332275e-06	0.174522138092312	0.405162329398043	0.343189016893406	0.0021592512598135	1.49218596316285e-06	0.0457780592229083	4.06192597396465e-06	0.0027260830892955	8.5160259800691e-06	0.0121201804198949	3.74136370173003e-05
Sub80	0.0018757784960978	4.04733747199378e-06	3.51036476448187e-07	0.137603214367231	0.632461694967388	0.172375844868558	0.0029376722787919	6.69575077086024e-07	0.0394100977274903	2.70509045445253e-06	0.0021122137435979	1.27381859076837e-06	0.011175895498007	3.85411947680843e-05
Sub81	2.94047198025358e-07	0.0509926865821331	1.56305359796937e-05	0.127053351134368	0.181741781523173	0.5225387492742	0.0219878981764569	1.70210871946388e-06	0.0674325352877217	0.0129413505211011	0.0004990691786869	0.0003754697912075	0.0144186033264412	8.78512614601958e-07
Sub82	0.0696491458503409	0.0328793723095864	0.0021221016185448	0.257455837665481	0.427147916277084	0.125556094752079	6.84119691642328e-07	0.0096099311639758	0.0672682880856062	5.82469728417738e-07	0.0025586302047612	6.57203681336941e-07	0.001585737087487	0.0041650211919519
Sub83	0.0141146315714741	9.88561084903276e-07	3.81675911032945e-07	0.064742209550311	0.631890427468495	0.212952911831509	1.10271197548177e-06	8.91816927690294e-07	0.0357979673600102	0.0154523615963389	0.0055622145793518	0.0077853746508789	0.0116696524861993	2.88841395322133e-05
Sub84	0.0007739858442985	0.0126034934969389	7.3179752010577e-07	0.220842030825798	0.292894325546889	0.316884003601352	0.00602116966935	7.04836772322448e-05	0.134855977575717	1.58786148233727e-06	0.0013537157544434	7.7804149385848e-06	0.0135976468929805	9.30670410591322e-05
Sub85	0.0018507410015672	0.0115445987905235	1.76629202348027e-06	0.101490803166421	0.345003746818748	0.456231197230485	0.0115485856572341	0.0007969802228355	0.0591209907596682	0.0006994461695296	0.0004412621832533	3.1901228434724e-06	0.011264559204758	2.13238010933327e-06
Sub86	0.0070289656037503	0.0087192106895857	4.48765275019137e-06	0.148127261389528	0.279229544851286	0.470077649020579	0.0108795547656584	1.8160995840052e-06	0.0566210061766658	0.0008916231263444	0.0004112077211122	0.0030245371147431	0.0149814302476212	1.70554079175657e-06
Sub87	0.0124579451145471	1.07011880861864e-06	3.96489844614379e-06	0.120893954643382	0.316569480756404	0.343273042262377	4.21793713066417e-06	0.0084842128258382	0.122076268477905	0.0436350018717034	0.0104873742718874	0.0110817126801008	0.0108498517377325	0.0001819024037368
Sub88	3.94329070948288e-07	0.0260131436959258	0.0126495971142854	0.0796921089305878	0.0282781420866574	0.71048143661563	0.015991575799339	0.0278875600952766	0.0638586954419037	0.0147911208966418	0.0007184411457199	0.0031223426666488	0.01650973711358	5.70406873247404e-06
Sub89	1.24824976304172e-06	0.0340984902852933	0.0100849284256518	0.0631547787902042	0.0682871567912566	0.661001723742577	0.0015093230694757	0.0039310215339401	0.093709162157594	0.0372648537108003	0.0018440634073651	0.012003497687304	0.0130569298768533	5.28222719211846e-05
