	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub76	0.0347457769644856	0.49420976910815	0.0107406895696532	0.0895709768330155	0.0385411202593817	0.130761760887739	2.62232064307391e-06	1.16429505272442e-06	7.37716550974144e-07	0.0946689910104448	0.0463925806485525	0.0542792561174315	0.0001366775836503	0.0059478766852486
Sub77	0.0054336405675498	0.263738480546626	0.0030565752693452	0.332056477943231	0.0698288438526688	0.0375044620849816	4.13196854898814e-07	0.0014649758587281	5.19717808957535e-05	0.13524968202545	0.0899431934278379	0.0444855146887155	0.0006159128987081	0.0165698558584069
Sub78	0.0153990144152648	0.41557705791101	0.0060367246998122	0.109778657643254	0.0114802352103131	0.0869977474803835	5.81113383675261e-07	0.0001555605883856	0.0003055121558341	0.260167031600144	0.0469543723210294	0.0446837893616885	0.0009709373132083	0.0014927781862888
Sub79	0.003929313865048	0.301165491723023	0.0007599731271715	0.260632778633856	0.134813591932222	0.0092482926895694	2.28491602050752e-05	0.0067591834787054	9.07486266209738e-05	0.182277646979738	0.044641980094175	0.0433434104670122	0.0009503240079754	0.0113644152146777
Sub80	1.05147987630148e-06	0.141966147367126	0.0001261144139859	0.334586595888125	0.221443461884033	5.97457768962253e-05	0.0001565258306572	0.0222352289023037	0.000136800377548	0.157286452390522	0.0577919237566966	0.0455578502688592	0.0009465007572329	0.0177056009061373
Sub81	0.0100122509731837	0.443504853090009	0.0026191783568507	0.156498896371395	0.0248454862212471	0.100283588152123	5.76131540761942e-07	0.001663620946124	6.05688339409156e-07	0.14203767981254	0.0418291161969893	0.0578536498599592	0.0001633444151332	0.0186871537845649
Sub82	1.17634514980225e-06	0.0677938762494915	0.0110895460340639	0.334870053783784	0.227464326525146	0.0027739021007468	0.0010344963639444	0.0918049575433407	0.0002170245645502	0.175987446484525	0.0849190658499068	0.0008780713649154	0.0011655470705546	5.09719881161867e-07
Sub83	7.61696469022752e-07	0.164792019949974	2.79936291955006e-06	0.388964933171931	0.187906637275204	0.0002020446589256	0.0057225788268119	0.0175876565511343	0.0003346082566319	0.102505379927207	0.0521152860016818	0.040173551059285	0.0008769935868421	0.0388147496749823
Sub84	6.49819555250448e-07	0.256954403807481	0.0027666282170199	0.230115068822538	0.058904337710034	0.0160289908469219	7.33374869284422e-05	0.0379678744291787	7.25759264942203e-06	0.203366826621313	0.121064639950993	0.0571941533582921	0.0009362407128178	0.014619590624277
Sub85	0.0051683535266335	0.381486165174987	0.0028415250895627	0.313407839178561	0.0481206735496255	0.0428053688242805	7.31198392093437e-05	0.004924914505411	1.09610031872617e-06	0.111567604071416	0.0410346602012628	0.0437609384125355	0.0001917802699812	0.0046159612562149
Sub86	0.0065008404357724	0.402854036062333	0.0006072083609209	0.179098444067338	0.0950472462981207	0.0443996337339318	0.000278504765787	0.0031555881404056	9.03853935162516e-07	0.162470972231789	0.0415084712625691	0.0502819251222755	0.0003922269975237	0.0134039986672979
Sub87	0.0048871767126969	0.285326972251883	0.0140385473212243	0.323758054017333	0.0496113733132417	0.0093400002471458	0.0018923313877184	0.0135066923435462	0.0043903153086921	0.157454183784219	0.100479152555597	0.0267021843978988	0.001275406788837	0.0073376095699662
Sub88	0.0200722715219953	0.614243140287337	0.040525370099573	0.0420393819442005	0.006857581345243	0.0891567931862444	0.0001300838194048	0.0001062463498045	5.25222902005126e-06	0.0978399775521441	0.0344198830379853	0.0494548670716074	0.0002665689531623	0.0048825826022787
Sub89	0.0151096453461755	0.562276249233526	0.0083737444716118	0.0835554204789397	0.0116900286821119	0.109350731672884	7.71127938258428e-05	5.27889639267619e-06	0.0001813219035472	0.107802721156887	0.0572823328817774	0.0381375872900628	0.0004791956770009	0.0056786295152577
