	Inhibitory	Excitatory	Oligodendrocyte	Astrocyte	OPC	Microglia	Endothelial	VLMC	Pericyte
20240514	0.0425197270781295	0.316916754253254	0.156135220424797	0.214754589860809	0.0065846264178242	0.0541654428890886	0.0249633909151566	0.0002889691700479	0.183671278990893
20242958	0.029197836291426	0.31524396183131	0.199189604886445	0.218702294002555	0.0041790441891831	0.0438012185239936	0.0152158436566313	8.35285953555135e-05	0.1743866680231
20244554	0.104047019419498	0.313865308463639	0.132389930914783	0.223599979037908	0.0001010061296299	0.0561944122287146	0.0172442317302256	0.0001152874760465	0.152442824599556
20249897	0.0937546877199084	0.31997931020896	0.199223890993452	0.186923288549335	0.0001903148770743	0.0388848313059051	0.0083218278817744	7.35903187026397e-05	0.152648258144888
20251553	0.0410374876241725	0.273264985426597	0.236062929766774	0.186986133408826	0.0021647251313788	0.0563258016696653	0.0270786833031971	0.000348352494048	0.176730901175341
20252720	0.0634028384570191	0.323752660561923	0.150490599968698	0.221514492970242	0.0007838363205281	0.0548172747121308	0.0167020859791326	8.70917343331671e-05	0.168449119295993
20254164	0.0270337067389207	0.308957559748845	0.129169022540944	0.279473340492749	0.0023782540648775	0.0622474417911605	0.0179165933697394	0.0002841486805131	0.17253993257225
20254876	0.0049746213244868	0.269993044980222	0.196407485625874	0.259257366186921	0.000704972196001	0.0619055780369538	0.0323965539078489	0.0005107935024057	0.173849584239287
20254902	0.0201505737418818	0.284838940840424	0.224871205572911	0.226117283759225	0.0022079856168483	0.0456101881748796	0.0211827970445418	0.0006532891063517	0.174367736142936
20260284	0.0191281898055964	0.265603305297203	0.175880061211362	0.280664407592448	0.0013970808327208	0.0494084601881878	0.0235589244461803	0.0003625686509998	0.183997001975302
20260734	0.0042770809626606	0.244228063951263	0.211382238965537	0.301309633285502	0.0036153928782283	0.0394857844527915	0.0262683197416701	0.0001858557719402	0.169247629990408
20261901	0.0217726921740466	0.346304315727972	0.144748108080996	0.238275396514146	0.0036200891397071	0.0361346222174393	0.026897900078278	0.0009170947589155	0.181329781308499
20263921	0.0083460753550886	0.23757195537125	0.212696576032617	0.27804438554414	0.0073735339099879	0.0439345220736139	0.0282913250792274	0.0001988790727607	0.183542747561315
20264936	0.0868185706552736	0.372934276716148	0.130205988901213	0.159936647578301	0.0001618602093971	0.045889449492521	0.0103082996820812	0.0002181323292899	0.193526774435775
20267709	0.0003256140659323	0.191964009443129	0.155955668782838	0.317895837051665	0.0006419234987096	0.0779309001199305	0.0664824176671299	0.0002727460491482	0.188530883321518
20270768	0.0744264089227216	0.331703427883142	0.13388675720138	0.204639517486115	0.0001198372924226	0.0602210369282876	0.0266471918307341	0.0001018020669666	0.16825402038823
20270920	0.117332196132901	0.378100164405553	0.143786220259481	0.158823108762791	8.58980616137013e-05	0.0316965681903973	0.0129155016957299	0.0001340388081802	0.157126303683353
20271359	0.103450973556693	0.361438379794191	0.163659508080898	0.157391938767032	0.0007701729624093	0.0362206345029404	0.0160089522008884	7.27644385547436e-05	0.160986675696393
20275399	0.0322357121352932	0.303547225370741	0.177107515872909	0.265698720706367	0.0001248309461704	0.0394548924675137	0.0175719293974787	0.0002506711105692	0.164008501992958
20280666	0.0389396991267678	0.289269364364996	0.133979690450164	0.269398954920588	0.0004421179723342	0.0589506493367919	0.0331362938999472	0.0001070575341488	0.175776172394261
20297791	0.0519190542622038	0.317575851116816	0.15369611670194	0.232381114794871	0.0013407866994638	0.0438740654168117	0.0182020397216939	0.000180884470209	0.180830086815991
20299973	0.0162546549508614	0.311643565840938	0.195817857537563	0.194286222071499	0.0001220325969221	0.0564889130060857	0.0243507996394575	0.0014929563261049	0.199542998030569
20311676	0.0338812116253892	0.324556766086714	0.180362851642059	0.198998419223665	0.0022364481741017	0.0584124244154676	0.0151279667087683	0.0001503093954446	0.186273602728391
20344143	0.0245593517445365	0.317265132195519	0.174671447437187	0.210367197297818	0.0001097430428172	0.0651184794763538	0.0310911227213752	0.0008726204633945	0.175944905620998
20358955	0.10180371834532	0.380880927178018	0.153679999843959	0.152024036959357	7.15313336237313e-05	0.0431584299794564	0.011722315940629	8.90459411225786e-05	0.156569994478513
20365116	0.0008167096367518	0.23541321975209	0.151755747437651	0.28943593787344	0.0001473595541767	0.0973286084482815	0.0323482482660601	0.0003120399777736	0.192442129053775
20376029	0.0106256946429275	0.262783173677844	0.167019386525453	0.218936461073127	0.0003647495438943	0.112159328913133	0.0332294197923774	0.0005840313904391	0.194297754440806
20390027	0.0100228032903033	0.311219303151011	0.20802613656751	0.18660367525652	0.00052258420384	0.0732846616848749	0.0361178539728129	0.0006878621159228	0.173515119757205
20399274	0.0414175516212777	0.293041492004866	0.168784169298884	0.237118648473527	0.0109953650991898	0.0547902238219957	0.0223622379916657	0.0001883463776894	0.171301965310905
