"","alpha","beta","gamma","delta","acinar","ductal","endothelial"
"Sub65",0.177042651078239,0.111201122426217,0.0735408588786004,0.00574912690954833,0.0729293393557544,0.314328803086864,0.245208098264776
"Sub66",0.0747763678827343,0.157318011833621,0.0129754267133507,0.013549012568652,0.0505976343884171,0.336897741265844,0.353885805347381
"Sub67",0.154632995251714,0.110545335162153,0.00200633426927924,0.00291643294526679,0.263493292247105,0.191776217936006,0.274629392188475
"Sub68",0.333957073673372,0.10266605911397,0.00600373941366103,0.0203847036422206,0.0954310974775146,0.171399663105063,0.2701576635742
"Sub69",0.4309223022476,0.112352329892082,0.00108993471316304,0.0283037722972237,0.0574241232025385,0.122428276249199,0.247479261398194
"Sub70",0.331475818461229,0.0379688379703395,0.00186525151836793,0.00412941534517844,0.123965987975169,0.276623174715427,0.22397151401429
"Sub71",0.523586334208091,0.000364009762958686,0,0.00751213066604949,0.076911763569981,0.300754986067133,0.0908707757257865
"Sub72",0.412619890689443,0.227567836507675,0.0031947761913526,0.00734795336476405,0.0214695853871784,0.116414031141927,0.21138592671766
"Sub73",0.602985371063502,0.0015737729387106,0.000539846338237909,0.00617880408458809,0.0603063818504965,0.197593529257677,0.130822294466789
"Sub74",0.210061023105482,0.000801222743940889,0.000886467293433818,0.00185199215932177,0.259385805703793,0.431543511145006,0.0954699778490225
"Sub75",0.174108675880122,0.0436941018746749,0.00333547297797515,0.00429053949533197,0.0296402416560091,0.522393808126491,0.222537159989396
"Sub76",0.536873459772187,0.123625130860207,0.00394779559989661,0.0322509268871137,0.0516812373861111,0.0908735279550964,0.160747921539388
"Sub77",0.312745741890551,0.0816498215285449,0.00111124467327183,0.00649355437019475,0.106754203015164,0.286506991944515,0.204738442577758
"Sub78",0.61882965910191,0.0209624792283772,0.000382583543392943,0.0149167428818317,0.0188100680491388,0.126393444565339,0.19970502263001
"Sub79",0.444414520004646,0.00132025396366308,0,0.00491138704172765,0.178218015317976,0.188306084718387,0.1828297389536
"Sub80",0.235608877841905,0.000974862618018116,1.0220868188927e-05,0.00270356647752255,0.187189460688478,0.35298958231116,0.220523429194728
"Sub81",0.553020664109847,0.0719556371173329,0.000648809573642047,0.0100804608219683,0.0396466768453561,0.124907679922591,0.199740071609263
"Sub82",0.062363347206673,0.0822483874056455,0.0103358859170965,0.0123134166601807,0.25344008814416,0.409124679369024,0.17017419529722
"Sub83",0.161990804321582,0.00157640609366981,0,0.0015813780793907,0.24875072367546,0.410519000164638,0.17558168766526
"Sub84",0.174135974201081,0.0583061143999568,0.00159544443218612,0.00369037266924763,0.0925814975047172,0.313743949215403,0.355946647577409
"Sub85",0.419683973398551,0.045561166276126,0.00175860855692711,0.00551812142502194,0.0633650981063969,0.299350324953824,0.164762707283153
"Sub86",0.550290142998546,0.00151937275014585,0,0.00713864043950542,0.0852233054854555,0.160912548513807,0.19491598981254
"Sub87",0.202332188292499,0.0670822029854785,0.0109596766557595,0.006667405528851,0.0457672511329087,0.384900138823668,0.282291136580836
"Sub88",0.610295487517119,0.160313072341037,0.0204112109347637,0.0168338794971098,0.00995035032641241,0.0456160721047759,0.136579927278783
"Sub89",0.472733650688277,0.239504778605663,0.00575516518849272,0.0150834105556919,0.0134481751008331,0.0696812324194103,0.183793587441632
