	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
K52_CTL_FC1_4	0.0	0.0427858553658413	0.001002151210043	0.0	0.886955532948272	0.0692564604758439
T84_CTL_FC5	0.0	0.0482271679556204	0.0	0.0	0.92033617324987	0.0314366587945095
T75_LPS_FC1_4	0.0	0.0	0.0	0.0	0.975443112057383	0.0245568879426172
T109_CTL_FC1_4	0.0	0.127979329319372	0.0	0.0	0.872020670680628	0.0
T18_GARD_BATCH_2	0.0	0.0	0.0105864343324466	0.0	0.883823387641103	0.10559017802645
K11_LPS_FC1_4	0.0	0.0	0.0	0.0	0.998337687171544	0.0016623128284562
T28_CTL_FC1_4	0.0	0.091056083733489	0.0	0.0	0.894057275250655	0.0148866410158558
T117_LPS_FC1_4	0.0	0.0	0.0	0.0	1.0	0.0
T47_CTL_FC1_4	0.0	0.0382593872102866	0.0	0.0	0.959670831199989	0.002069781589724
T27_CTL_FC1_4	0.0	0.0498094325785214	0.0	0.0	0.94459861718721	0.0055919502342681
K24_CTL_FC1_4	0.0	0.0	0.0333597843320998	0.0	0.870099228852717	0.0965409868151836
T34_LPS_FC1_4	0.0	0.0	0.0	0.0	0.990491338172991	0.0095086618270087
T47_GARD_BATCH_2	0.0	0.064035308028323	0.0	0.0	0.935964691971677	0.0
K27_CTL_FC1_4	0.0	0.0139094652065535	0.0	0.0	0.882845254472439	0.103245280321007
T72_GARD_BATCH_2	0.0	0.0606842039437037	0.0	0.0	0.867696704187748	0.0716190918685477
K22_CTL_FC1_4	0.0	0.0	0.0	0.0	0.923037603095855	0.0769623969041448
K13_GARD_BATCH_2	0.0	0.0178107650497322	0.0	0.0	0.982189234950268	0.0
K34_CTL_FC1_4	0.0	0.0	0.0	0.0	0.953418583816681	0.0465814161833189
T41_GARD_BATCH_2	0.0	0.0013702688361097	0.0161021111207731	0.0	0.880288105696117	0.102239514347
T106_LPS_FC1_4	0.0	0.0	0.0	0.0	1.0	0.0
K10_CTL_FC1_4	0.036959775909506	0.0	0.0023336387975784	0.0	0.960706585292916	0.0
T115_CTL_FC5	0.0	0.0563765625888654	0.0	0.0	0.934769437411256	0.008853999999879
K28_CTL_FC1_4	0.0	0.0273564065174159	0.0030340110402614	0.0	0.85287603761104	0.116733544831282
K15_GARD_BATCH_2	0.0	0.0	0.0237780155577002	0.0	0.896925965442105	0.079296019000195
T104_GARD_BATCH_2	0.0	0.0028181347744332	0.0063661818459726	0.0	0.943855954677083	0.0469597287025116
K28_GARD_BATCH_2	0.0	0.0	0.0283263917601732	0.0	0.855349966129294	0.116323642110533
T63_CTL_FC1_4	0.0	0.0668312676188336	0.0	0.0	0.933168732381166	0.0
K5_CTL_FC1_4	0.0	0.0	0.0	0.0	0.981801151677281	0.0181988483227188
T81_CTL_FC1_4	0.0	0.0	0.0259971281125408	0.0	0.904146127147599	0.0698567447398604
K14_LPS_FC1_4	0.0	0.0	0.0	0.0	0.939882585315865	0.0601174146841348
T7_CTL_FC1_4	0.0	0.0	0.0	0.0	0.922832525760252	0.0771674742397482
K30_LPS_FC1_4	0.0	0.0	0.0063191063322261	0.0	0.907912211371755	0.0857686822960187
K7_LPS_FC5	0.0	0.0	0.003030127286698	0.0	0.898080089653911	0.0988897830593908
