	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X226_D0	0.37860367	0.055460487	0.2213451	0.0	0.15908316	0.18550755
X228_D0	0.3384179	0.031750813	0.12701318	0.0	0.27217072	0.23064739
X230_D0	0.43180287	0.07125908	0.26095372	0.014332231	0.1664015	0.05525053
X231_D0	0.47049403	0.07970099	0.112795986	0.0	0.2654857	0.07152329
X232_D0	0.6088627	0.041331593	0.17885894	0.0	0.16977197	0.0011747815
X233_D0	0.2722273	0.049019404	0.046923842	0.0	0.27408203	0.35774738
X234_D0	0.37548122	0.054411836	0.13378388	0.0	0.23869857	0.19762444
X236_D0	0.38985986	0.113875225	0.30016968	0.0	0.113665454	0.08242972
X237_D0	0.46751472	0.05378593	0.28706267	0.0	0.119388334	0.07224827
X238_D0	0.37457722	0.019666798	0.16427268	0.0	0.17057706	0.27090627
X239_D0	0.47782463	0.029034229	0.16210875	0.005594894	0.17348924	0.15194832
X240_D0	0.5137688	0.029435389	0.17733145	0.0	0.16003463	0.119429715
