	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X218_D0	0.43640238	0.120793626	0.06495096	0.0	0.13708955	0.24076346
X219_D0	0.44905895	0.11895185	0.07754794	0.0	0.13915955	0.21528165
X222_D0	0.44839144	0.12510304	0.09354426	0.0	0.13817298	0.19478819
X223_D0	0.4495379	0.12436695	0.010582189	0.0	0.1511937	0.2643193
X225_D0	0.45476788	0.13906336	0.08149879	0.0	0.12322209	0.20144778
X226_D0	0.4335865	0.1307164	0.088232994	0.0	0.124444045	0.22302009
X228_D0	0.40779963	0.118803695	0.06265926	0.0	0.16424647	0.2464909
X230_D0	0.4530867	0.13863868	0.097564444	0.0	0.1223952	0.18831497
X231_D0	0.45439172	0.14584473	0.055628173	0.0	0.15332271	0.19081266
X232_D0	0.52075154	0.133663	0.07570327	0.0	0.115292355	0.15458974
X233_D0	0.379583	0.12575787	0.042415086	0.0	0.17163886	0.2806052
X234_D0	0.4221003	0.13271753	0.06445271	0.0	0.1516605	0.22906889
X236_D0	0.4411791	0.1530759	0.11453024	0.0	0.10681642	0.18439832
X237_D0	0.47167256	0.13168466	0.11233845	0.0	0.10435895	0.17994538
X238_D0	0.4317904	0.11529497	0.07700589	0.0	0.13085967	0.2450491
X239_D0	0.46978542	0.12485696	0.07525466	0.0	0.124088384	0.2060147
X240_D0	0.48671466	0.12378176	0.08141842	0.0	0.118466645	0.18961851
